team,TeamID
IU Indy,1237
Idaho,1225
Idaho St.,1226
Illinois,1228
Illinois Chicago,1227
Illinois St.,1229
Incarnate Word,1230
Indiana,1231
Indiana St.,1232
Iona,1233
Iowa,1234
Iowa St.,1235
Jackson St.,1238
Jacksonville,1239
Jacksonville St.,1240
James Madison,1241
Kansas,1242
Kansas St.,1243
Kennesaw St.,1244
Kent St.,1245
Kentucky,1246
LIU,1254
LSU,1261
La Salle,1247
Lafayette,1248
Lamar,1249
Le Moyne,1478
Lehigh,1250
Liberty,1251
Lindenwood,1473
Lipscomb,1252
Little Rock,1114
Long Beach St.,1253
Longwood,1255
Louisiana,1418
Louisiana Monroe,1419
Louisiana Tech,1256
Louisville,1257
Loyola Chicago,1260
Loyola MD,1259
Loyola Marymount,1258
Maine,1263
Manhattan,1264
Marist,1265
Marquette,1266
Marshall,1267
Maryland,1268
Maryland Eastern Shore,1271
Massachusetts,1269
McNeese St.,1270
Memphis,1272
Mercer,1273
Mercyhurst,1479
Merrimack,1467
Miami FL,1274
Miami OH,1275
Michigan,1276
Michigan St.,1277
Middle Tennessee,1292
Milwaukee,1454
Minnesota,1278
Mississippi,1279
Mississippi St.,1280
Mississippi Valley St.,1290
Missouri,1281
Missouri St.,1283
Monmouth,1284
Montana,1285
Montana St.,1286
Morehead St.,1287
Morgan St.,1288
Mount St. Mary's,1291
Murray St.,1293
N.C. State,1301
NJIT,1312
Navy,1298
Nebraska,1304
Nebraska Omaha,1303
Nevada,1305
New Hampshire,1306
New Haven,1481
New Mexico,1307
New Mexico St.,1308
New Orleans,1309
Niagara,1310
Nicholls St.,1311
Norfolk St.,1313
North Alabama,1466
North Carolina,1314
North Carolina A&T,1299
North Carolina Central,1300
North Dakota,1315
North Dakota St.,1295
North Florida,1316
North Texas,1317
Northeastern,1318
Northern Arizona,1319
Northern Colorado,1294
Northern Illinois,1296
Northern Iowa,1320
Northern Kentucky,1297
Northwestern,1321
Northwestern St.,1322
Notre Dame,1323
Oakland,1324
Ohio,1325
Ohio St.,1326
Oklahoma,1328
Oklahoma St.,1329
Old Dominion,1330
Oral Roberts,1331
Oregon,1332
Oregon St.,1333
Pacific,1334
Penn,1335
Penn St.,1336
Pepperdine,1337
Pittsburgh,1338
Portland,1339
Portland St.,1340
Prairie View A&M,1341
Presbyterian,1342
Princeton,1343
Providence,1344
Purdue,1345
Purdue Fort Wayne,1236
Queens,1474
Quinnipiac,1346
Radford,1347
Rhode Island,1348
Rice,1349
Richmond,1350
Rider,1351
Robert Morris,1352
Rutgers,1353
SIU Edwardsville,1188
SMU,1374
Sacramento St.,1170
Sacred Heart,1357
Saint Francis,1383
Saint Joseph's,1386
Saint Louis,1387
Saint Mary's,1388
Saint Peter's,1389
Sam Houston St.,1358
Samford,1359
San Diego,1360
San Diego St.,1361
San Francisco,1362
San Jose St.,1363
Santa Clara,1365
Savannah St.,1366
Seattle,1370
Seton Hall,1371
Siena,1373
South Alabama,1375
South Carolina,1376
South Carolina St.,1354
South Dakota,1377
South Dakota St.,1355
South Florida,1378
Southeast Missouri St.,1369
Southeastern Louisiana,1368
Southern,1380
Southern Illinois,1356
Southern Indiana,1475
Southern Miss,1379
Southern Utah,1381
St. Bonaventure,1382
St. Francis NY,1383
St. John's,1385
St. Thomas,1472
Stanford,1390
Stephen F. Austin,1372
Stetson,1391
Stonehill,1476
Stony Brook,1392
Syracuse,1393
TCU,1395
Tarleton St.,1470
Temple,1396
Tennessee,1397
Tennessee Martin,1404
Tennessee St.,1398
Tennessee Tech,1399
Texas,1400
Texas A&M,1401
Texas A&M Corpus Chris,1394
Texas Southern,1411
Texas St.,1402
Texas Tech,1403
The Citadel,1154
Toledo,1405
Towson,1406
Troy,1407
Tulane,1408
Tulsa,1409
UAB,1412
UC Davis,1413
UC Irvine,1414
UC Riverside,1415
UC San Diego,1471
UC Santa Barbara,1364
UCF,1416
UCLA,1417
UMBC,1420
UMKC,1282
UMass Lowell,1262
UNC Asheville,1421
UNC Greensboro,1422
UNC Wilmington,1423
UNLV,1424
USC,1425
USC Upstate,1367
UT Arlington,1426
UT Rio Grande Valley,1410
UTEP,1431
UTSA,1427
Utah,1428
Utah St.,1429
Utah Tech,1469
Utah Valley,1430
VCU,1433
VMI,1440
Valparaiso,1434
Vanderbilt,1435
Vermont,1436
Villanova,1437
Virginia,1438
Virginia Tech,1439
Wagner,1447
Wake Forest,1448
Washington,1449
Washington St.,1450
Weber St.,1451
West Georgia,1480
West Virginia,1452
Western Carolina,1441
Western Illinois,1442
Western Kentucky,1443
Western Michigan,1444
Wichita St.,1455
William & Mary,1456
Winthrop,1457
Wisconsin,1458
Wofford,1459
Wright St.,1460
Wyoming,1461
Xavier,1462
Yale,1463
Youngstown St.,1464
